Harmonized Name,Harmonized ID (Pubchem ID),Database,Name in Database,Source for Clinical Information,Clinical Phase,MOA,Targets
unnamed_17650,387324,NCI60,-,#N/A,,#N/A,#N/A
1-isonicotinoyl-3-methyl-5-pyrazolone,387326,NCI60,1-isonicotinoyl-3-methyl-5-pyrazolone,#N/A,,#N/A,#N/A
unnamed_17651,387327,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17652,387328,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17653,387332,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17654,387335,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17655,387336,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17656,387337,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17657,387338,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17658,387339,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17659,387340,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17660,387343,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17661,387344,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17662,387345,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17663,387346,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17664,387347,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17665,387348,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17666,387349,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17667,387350,NCI60,-,#N/A,,#N/A,#N/A
"acetic acid, [1,4,7,10-tetraazacyclododecane-1,7-diyl]bis",387352,NCI60,"acetic acid, [1,4,7,10-tetraazacyclododecane-1,7-diyl]bis",#N/A,,#N/A,#N/A
unnamed_17668,387357,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17669,387359,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17670,387361,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17671,387362,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17672,387363,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17673,387364,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17674,387365,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17675,387366,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17676,387367,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17677,387368,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17678,387369,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17679,387370,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17680,387371,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17681,387372,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17682,387373,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17683,387374,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17684,387375,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17685,387376,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17686,387390,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17687,387391,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17688,387392,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17689,387393,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17690,387394,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17691,387395,NCI60,-,#N/A,,#N/A,#N/A
antcin a,387396,NCI60,antcin a,#N/A,,#N/A,#N/A
antcin b,387397,NCI60,antcin b,#N/A,,#N/A,#N/A
asbestinin 13,387398,NCI60,asbestinin 13,#N/A,,#N/A,#N/A
asbestinin 16,387399,NCI60,asbestinin 16,#N/A,,#N/A,#N/A
asbestinin 17,387400,NCI60,asbestinin 17,#N/A,,#N/A,#N/A
unnamed_17692,387401,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17693,387402,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17694,387405,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17695,387407,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17696,387408,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17697,387410,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17698,387412,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17699,387413,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17700,387415,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17701,387416,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17702,387417,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17703,387419,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17704,387420,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17705,387421,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17706,387422,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17707,387423,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17708,387424,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17709,387425,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17710,387426,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17711,387427,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17712,387428,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17713,387429,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17714,387430,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17715,387431,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17716,387432,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17717,387433,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17718,387434,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17719,387435,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17720,387436,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17721,387437,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17722,387438,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17723,387439,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17724,387440,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17725,387442,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17726,387443,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17727,387444,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17728,387445,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17729,387448,NCI60,-,#N/A,,#N/A,#N/A
"6-azido-1,3-diphenyl-uracil",387450,NCI60,"6-azido-1,3-diphenyl-uracil",#N/A,,#N/A,#N/A
1-azido-2-benzoyl-phenalen-3-one,387452,NCI60,1-azido-2-benzoyl-phenalen-3-one,#N/A,,#N/A,#N/A
unnamed_17730,387456,NCI60,-,#N/A,,#N/A,#N/A
